"state","date.wk_end","weekly.flu.admissions.HHS","weekly.flu.admissions.HHS.coverage","weekly.flu.deaths.HHS","weekly.flu.deaths.HHS.coverage","region","population","hhs.hosp.rate","hhs.death.rate","sea_label","sea_description","year_wk_num","year","age","age_label","date.wk_start","flusurv.hosp.cum.rate","flusurv.hosp.rate"
"CA",2021-10-09,14,2141,0,2125,"California",42621044,0.0328476233477528,0,"2021-22","Season 2021-22",40,2021,6,"Overall",2021-10-03,0,0
"CA",2021-10-16,10,2124,0,2113,"California",42621044,0.0234625881055377,0,"2021-22","Season 2021-22",41,2021,6,"Overall",2021-10-10,0.1,0.1
"CA",2021-10-23,17,2181,0,2174,"California",42621044,0.0398863997794141,0,"2021-22","Season 2021-22",42,2021,6,"Overall",2021-10-17,0.1,0
"CA",2021-10-30,8,2198,1,2191,"California",42621044,0.0187700704844302,0.00234625881055377,"2021-22","Season 2021-22",43,2021,6,"Overall",2021-10-24,0.1,0
"CA",2021-11-06,19,2320,0,2313,"California",42621044,0.0445789174005217,0,"2021-22","Season 2021-22",44,2021,6,"Overall",2021-10-31,0.1,0
"CA",2021-11-13,19,2639,0,2633,"California",42621044,0.0445789174005217,0,"2021-22","Season 2021-22",45,2021,6,"Overall",2021-11-07,0.1,0
"CA",2021-11-20,25,2639,0,2632,"California",42621044,0.0586564702638443,0,"2021-22","Season 2021-22",46,2021,6,"Overall",2021-11-14,0.1,0
"CA",2021-11-27,28,2677,0,2670,"California",42621044,0.0656952466955056,0,"2021-22","Season 2021-22",47,2021,6,"Overall",2021-11-21,0.2,0.1
"CA",2021-12-04,54,2699,0,2693,"California",42621044,0.126697975769904,0,"2021-22","Season 2021-22",48,2021,6,"Overall",2021-11-28,0.2,0
"CA",2021-12-11,66,2729,2,2719,"California",42621044,0.154853081496549,0.00469251762110754,"2021-22","Season 2021-22",49,2021,6,"Overall",2021-12-05,0.2,0
"CA",2021-12-18,70,2737,1,2723,"California",42621044,0.164238116738764,0.00234625881055377,"2021-22","Season 2021-22",50,2021,6,"Overall",2021-12-12,0.2,0
"CA",2021-12-25,118,2710,1,2697,"California",42621044,0.276858539645345,0.00234625881055377,"2021-22","Season 2021-22",51,2021,6,"Overall",2021-12-19,0.3,0.1
"CA",2022-01-01,97,2718,3,2705,"California",42621044,0.227587104623716,0.00703877643166132,"2021-22","Season 2021-22",52,2021,6,"Overall",2021-12-26,0.4,0.1
"CA",2022-01-08,93,2726,2,2696,"California",42621044,0.218202069381501,0.00469251762110754,"2021-22","Season 2021-22",1,2021,6,"Overall",2022-01-02,0.5,0.1
"CA",2022-01-15,81,2736,1,2535,"California",42621044,0.190046963654856,0.00234625881055377,"2021-22","Season 2021-22",2,2021,6,"Overall",2022-01-09,0.6,0.1
"CA",2022-01-22,64,2728,4,2521,"California",42621044,0.150160563875441,0.00938503524221509,"2021-22","Season 2021-22",3,2021,6,"Overall",2022-01-16,0.6,0
"CA",2022-01-29,30,2746,7,2529,"California",42621044,0.0703877643166132,0.0164238116738764,"2021-22","Season 2021-22",4,2021,6,"Overall",2022-01-23,0.6,0
"CA",2022-02-05,32,2765,15,2453,"California",42621044,0.0750802819377207,0.0351938821583066,"2021-22","Season 2021-22",5,2021,6,"Overall",2022-01-30,0.6,0
"CA",2022-02-12,34,2770,5,2432,"California",42621044,0.0797727995588283,0.0117312940527689,"2021-22","Season 2021-22",6,2021,6,"Overall",2022-02-06,0.6,0
"CA",2022-02-19,18,2772,16,2421,"California",42621044,0.0422326585899679,0.0375401409688604,"2021-22","Season 2021-22",7,2021,6,"Overall",2022-02-13,0.7,0
"CA",2022-02-26,34,2768,5,2430,"California",42621044,0.0797727995588283,0.0117312940527689,"2021-22","Season 2021-22",8,2021,6,"Overall",2022-02-20,0.7,0.1
"CA",2022-03-05,32,2756,11,2429,"California",42621044,0.0750802819377207,0.0258088469160915,"2021-22","Season 2021-22",9,2021,6,"Overall",2022-02-27,0.8,0.1
"CA",2022-03-12,45,2753,3,2427,"California",42621044,0.10558164647492,0.00703877643166132,"2021-22","Season 2021-22",10,2021,6,"Overall",2022-03-06,0.8,0.1
"CA",2022-03-19,57,2767,0,2433,"California",42621044,0.133736752201565,0,"2021-22","Season 2021-22",11,2021,6,"Overall",2022-03-13,0.9,0.1
