"state","datew","previous_day_admission_influenza_confirmed","previous_day_admission_influenza_confirmed_coverage","previous_day_deaths_covid_and_influenza","previous_day_deaths_covid_and_influenza_coverage","previous_day_deaths_influenza","previous_day_deaths_influenza_coverage","icu_patients_confirmed_influenza","icu_patients_confirmed_influenza_coverage","total_patients_hospitalized_confirmed_influenza","total_patients_hospitalized_confirmed_influenza_and_covid","total_patients_hospitalized_confirmed_influenza_and_covid_coverage","total_patients_hospitalized_confirmed_influenza_coverage","inpatient_beds_used_covid","inpatient_beds_used_covid_coverage","percent_of_inpatients_with_covid","adult_icu_bed_utilization","adult_icu_bed_utilization_coverage","region","population","flu_hosp_rate","flu_death_rate"
"AK",2020-03-28,0,0,0,0,0,0,NA,0,NA,NA,0,0,1.71428571428571,1.42857142857143,0.0878512274475007,NA,NA,"Alaska",783195,0,0
"AK",2020-04-04,0,0,0,0,0,0,NA,0,NA,NA,0,0,10.8571428571429,3.14285714285714,0.0844279559304099,NA,NA,"Alaska",783195,0,0
"AK",2020-04-11,0,0,0,0,0,0,NA,0,NA,NA,0,0,4.42857142857143,4.57142857142857,0.0150205118573637,NA,NA,"Alaska",783195,0,0
"AK",2020-04-18,0,0,0,0,0,0,NA,0,NA,NA,0,0,15.2857142857143,7,0.0507296600950611,NA,NA,"Alaska",783195,0,0
"AK",2020-04-25,0,0,0,0,0,0,NA,0,NA,NA,0,0,25.4285714285714,9.71428571428571,0.0623005962044367,NA,NA,"Alaska",783195,0,0
"AK",2020-05-02,0,0,0,0,0,0,NA,0,NA,NA,0,0,28.1428571428571,10.5714285714286,0.0526179839178073,NA,NA,"Alaska",783195,0,0
"AK",2020-05-09,0,0,0,0,0,0,NA,0,NA,NA,0,0,9.71428571428571,11.5714285714286,0.0179086893788506,NA,NA,"Alaska",783195,0,0
"AK",2020-05-16,0,0,0,0,0,0,NA,0,NA,NA,0,0,12,14.4285714285714,0.0173072630531264,NA,NA,"Alaska",783195,0,0
"AK",2020-05-23,0,0,0,0,0,0,NA,0,NA,NA,0,0,15.8571428571429,11.7142857142857,0.0260607427578857,NA,NA,"Alaska",783195,0,0
"AK",2020-05-30,0,0,0,0,0,0,NA,0,NA,NA,0,0,19.7142857142857,13.8571428571429,0.0269930618467889,NA,NA,"Alaska",783195,0,0
"AK",2020-06-06,0,0,0,0,0,0,NA,0,NA,NA,0,0,20.5714285714286,13.5714285714286,0.0274427084371201,NA,NA,"Alaska",783195,0,0
"AK",2020-06-13,0,0,0,0,0,0,NA,0,NA,NA,0,0,25.4285714285714,15.2857142857143,0.0322986993135874,NA,NA,"Alaska",783195,0,0
"AK",2020-06-20,0,0,0,0,0,0,NA,0,NA,NA,0,0,31,13.5714285714286,0.0392637452982656,NA,NA,"Alaska",783195,0,0
"AK",2020-06-27,0,0,0,0,0,0,NA,0,NA,NA,0,0,19.5714285714286,13,0.0250983144644286,NA,NA,"Alaska",783195,0,0
"AK",2020-07-04,0,0,0,0,0,0,NA,0,NA,NA,0,0,29.1428571428571,13.5714285714286,0.038933157665908,NA,NA,"Alaska",783195,0,0
