"Geography","Age","Population","Week_Ending_Sat","flu.coverage.rd2.sc_A_B_C_D"
"Alabama","6 Months - 4 Years",263797,2022-08-06,0
"Alabama","6 Months - 4 Years",263797,2022-08-13,4.89159480691163
"Alabama","6 Months - 4 Years",263797,2022-08-20,5.21243289682611
"Alabama","6 Months - 4 Years",263797,2022-08-27,5.99818690620638
"Alabama","6 Months - 4 Years",263797,2022-09-03,7.19111298766911
"Alabama","6 Months - 4 Years",263797,2022-09-10,8.73346729383099
"Alabama","6 Months - 4 Years",263797,2022-09-17,10.5675059773087
"Alabama","6 Months - 4 Years",263797,2022-09-24,12.6354851907189
"Alabama","6 Months - 4 Years",263797,2022-10-01,14.9617858318062
"Alabama","6 Months - 4 Years",263797,2022-10-08,18.0108600261182
"Alabama","6 Months - 4 Years",263797,2022-10-15,21.4708465249977
"Alabama","6 Months - 4 Years",263797,2022-10-22,24.8608562193299
"Alabama","6 Months - 4 Years",263797,2022-10-29,27.7
"Alabama","6 Months - 4 Years",263797,2022-11-05,30.0572742255357
"Alabama","6 Months - 4 Years",263797,2022-11-12,32.252483296791
"Alabama","6 Months - 4 Years",263797,2022-11-19,34.1809501681408
"Alabama","6 Months - 4 Years",263797,2022-11-26,35.7379977939598
"Alabama","6 Months - 4 Years",263797,2022-12-03,36.8886118179449
"Alabama","6 Months - 4 Years",263797,2022-12-10,37.8132593707308
"Alabama","6 Months - 4 Years",263797,2022-12-17,38.6054496771355
"Alabama","6 Months - 4 Years",263797,2022-12-24,39.3501257970666
"Alabama","6 Months - 4 Years",263797,2022-12-31,40.1271684970426
"Alabama","6 Months - 4 Years",263797,2023-01-07,40.9096234813998
"Alabama","6 Months - 4 Years",263797,2023-01-14,41.6691885288478
"Alabama","6 Months - 4 Years",263797,2023-01-21,42.401616555914
"Alabama","6 Months - 4 Years",263797,2023-01-28,43.1026604791254
"Alabama","6 Months - 4 Years",263797,2023-02-04,43.7526228014175
"Alabama","6 Months - 4 Years",263797,2023-02-11,44.3523848182452
"Alabama","6 Months - 4 Years",263797,2023-02-18,44.951550245472
"Alabama","6 Months - 4 Years",263797,2023-02-25,45.6003372330129
"Alabama","6 Months - 4 Years",263797,2023-03-04,46.4454433320414
"Alabama","6 Months - 4 Years",263797,2023-03-11,47.5097869245344
"Alabama","6 Months - 4 Years",263797,2023-03-18,48.5155077133159
"Alabama","6 Months - 4 Years",263797,2023-03-25,49.1809365494786
"Alabama","6 Months - 4 Years",263797,2023-04-01,49.3
"Alabama","6 Months - 4 Years",263797,2023-04-08,49.3
"Alabama","6 Months - 4 Years",263797,2023-04-15,49.3
"Alabama","6 Months - 4 Years",263797,2023-04-22,49.3
"Alabama","6 Months - 4 Years",263797,2023-04-29,49.3003071672543
"Alabama","6 Months - 4 Years",263797,2023-05-06,49.3181795470191
"Alabama","6 Months - 4 Years",263797,2023-05-13,49.358712307766
"Alabama","6 Months - 4 Years",263797,2023-05-20,49.4151105708567
"Alabama","6 Months - 4 Years",263797,2023-05-27,49.4805794576533
"Alabama","6 Months - 4 Years",263797,2023-06-03,49.5483240895176
"Alabama","5-12 Years",484424,2022-08-06,0
"Alabama","5-12 Years",484424,2022-08-13,5.49692059105159
"Alabama","5-12 Years",484424,2022-08-20,5.25986213344616
"Alabama","5-12 Years",484424,2022-08-27,5.88151317551682
"Alabama","5-12 Years",484424,2022-09-03,7.24146705466384
"Alabama","5-12 Years",484424,2022-09-10,9.21931710828749
"Alabama","5-12 Years",484424,2022-09-17,11.694656673788
"Alabama","5-12 Years",484424,2022-09-24,14.5470790885657
"Alabama","5-12 Years",484424,2022-10-01,17.8443707261767
"Alabama","5-12 Years",484424,2022-10-08,22.6453882159516
"Alabama","5-12 Years",484424,2022-10-15,28.1990983825272
"Alabama","5-12 Years",484424,2022-10-22,33.3643520393834
"Alabama","5-12 Years",484424,2022-10-29,37
"Alabama","5-12 Years",484424,2022-11-05,39.284834125754
"Alabama","5-12 Years",484424,2022-11-12,41.1851518633956
"Alabama","5-12 Years",484424,2022-11-19,42.7410624044645
"Alabama","5-12 Years",484424,2022-11-26,43.9926749405005
"Alabama","5-12 Years",484424,2022-12-03,44.9884346097023
"Alabama","5-12 Years",484424,2022-12-10,45.8025930748006
"Alabama","5-12 Years",484424,2022-12-17,46.4990184519892
"Alabama","5-12 Years",484424,2022-12-24,47.1405544187305
"Alabama","5-12 Years",484424,2022-12-31,47.7901798921493
"Alabama","5-12 Years",484424,2023-01-07,48.4770837797215
"Alabama","5-12 Years",484424,2023-01-14,49.1454404515899
"Alabama","5-12 Years",484424,2023-01-21,49.727471729334
"Alabama","5-12 Years",484424,2023-01-28,50.1553994345332
"Alabama","5-12 Years",484424,2023-02-04,50.4119038141532
"Alabama","5-12 Years",484424,2023-02-11,50.5896742599209
"Alabama","5-12 Years",484424,2023-02-18,50.7523093138103
"Alabama","5-12 Years",484424,2023-02-25,50.9624494958835
