"Geography","Age","Population","Week_Ending_Sat","flu.coverage.rd2526.sc_A","flu.coverage.rd2526.sc_B"
"United States","6 Months - 4 Years",17433786,2025-08-16,5.4212385501933,3.52380505762565
"United States","6 Months - 4 Years",17433786,2025-08-23,5.4212385501933,3.52380505762565
"United States","6 Months - 4 Years",17433786,2025-08-30,5.4212385501933,3.52380505762565
"United States","6 Months - 4 Years",17433786,2025-09-06,5.4212385501933,3.52380505762565
"United States","6 Months - 4 Years",17433786,2025-09-13,7.56727984517045,4.91873189936079
"United States","6 Months - 4 Years",17433786,2025-09-20,9.26200152126431,6.02030098882181
"United States","6 Months - 4 Years",17433786,2025-09-27,11.2674741388044,7.32385819022287
"United States","6 Months - 4 Years",17433786,2025-10-04,15.6620170253667,10.1803110664884
"United States","6 Months - 4 Years",17433786,2025-10-11,18.2437786257191,11.8584561067174
"United States","6 Months - 4 Years",17433786,2025-10-18,21.2068081758195,13.7844253142827
"United States","6 Months - 4 Years",17433786,2025-10-25,24.4990452996082,15.9243794447453
"United States","6 Months - 4 Years",17433786,2025-11-01,28.2768288674503,18.3799387638427
"United States","6 Months - 4 Years",17433786,2025-11-08,35.3444948778219,22.9739216705842
"United States","6 Months - 4 Years",17433786,2025-11-15,38.30119035451,24.8957737304315
"United States","6 Months - 4 Years",17433786,2025-11-22,40.8570625787624,26.5570906761956
"United States","6 Months - 4 Years",17433786,2025-11-29,43.0518549718207,27.9837057316835
"United States","6 Months - 4 Years",17433786,2025-12-06,47.0188369539612,30.5622440200748
"United States","6 Months - 4 Years",17433786,2025-12-13,48.6552714319137,31.6259264307439
"United States","6 Months - 4 Years",17433786,2025-12-20,50.0406435397636,32.5264183008463
"United States","6 Months - 4 Years",17433786,2025-12-27,51.217887465002,33.2916268522513
"United States","6 Months - 4 Years",17433786,2026-01-03,52.5004206480876,34.1252734212569
"United States","6 Months - 4 Years",17433786,2026-01-10,54.486542898467,35.4162528840035
"United States","6 Months - 4 Years",17433786,2026-01-17,55.2447156359408,35.9090651633615
"United States","6 Months - 4 Years",17433786,2026-01-24,55.9043152015063,36.3378048809791
