"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on Jul-26-2022)",,,,,,,,,
Influenza Division - Centers for Disease Control and Prevention.,,,,,,,,,
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Connecticut,EIP,2020-21,2020,40,Overall,Overall,Overall,null,0
Entire Network,EIP,2020-21,2020,40,Overall,Overall,White,null,0
Entire Network,EIP,2020-21,2020,40,Overall,Overall,Black,null,0
Entire Network,EIP,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,0
Entire Network,EIP,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,0
Entire Network,EIP,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,0
Oregon,EIP,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,0
Oregon,EIP,2020-21,2020,40,Overall,Male,Overall,null,0
Oregon,EIP,2020-21,2020,40,Overall,Female,Overall,null,0
Oregon,EIP,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,0
Oregon,EIP,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,0
Oregon,EIP,2020-21,2020,40,Overall,Overall,Overall,null,0
Tennessee,EIP,2020-21,2020,40,Overall,Overall,White,null,0
Entire Network,EIP,2020-21,2020,40,Overall,Male,Overall,null,0
Entire Network,EIP,2020-21,2020,40,Overall,Female,Overall,null,0
Entire Network,EIP,2020-21,2020,40,Overall,Overall,Overall,null,0
Entire Network,FluSurv-NET,2020-21,2020,40,Overall,Overall,White,null,0
Entire Network,FluSurv-NET,2020-21,2020,40,Overall,Overall,Black,null,0
Entire Network,FluSurv-NET,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,0
Tennessee,EIP,2020-21,2020,40,Overall,Overall,Black,null,0
Tennessee,EIP,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,0
Tennessee,EIP,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,0
Tennessee,EIP,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,0
Tennessee,EIP,2020-21,2020,40,Overall,Male,Overall,null,0
Tennessee,EIP,2020-21,2020,40,Overall,Female,Overall,null,0
Entire Network,FluSurv-NET,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,0
Entire Network,FluSurv-NET,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,0
Entire Network,FluSurv-NET,2020-21,2020,40,Overall,Male,Overall,null,0
Entire Network,FluSurv-NET,2020-21,2020,40,Overall,Female,Overall,null,0
Connecticut,EIP,2020-21,2020,40,Overall,Female,Overall,null,0
Georgia,EIP,2020-21,2020,40,Overall,Overall,White,null,0
Entire Network,FluSurv-NET,2020-21,2020,40,Overall,Overall,Overall,0,0
Tennessee,EIP,2020-21,2020,40,Overall,Overall,Overall,null,0
Utah,IHSP,2020-21,2020,40,Overall,Overall,White,null,0
Utah,IHSP,2020-21,2020,40,Overall,Overall,Black,null,0
Utah,IHSP,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,0
Utah,IHSP,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,0
Utah,IHSP,2020-21,2020,40,Overall,Male,Overall,null,0
Utah,IHSP,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,0
Utah,IHSP,2020-21,2020,40,Overall,Female,Overall,null,0
Georgia,EIP,2020-21,2020,40,Overall,Overall,Black,null,0
Georgia,EIP,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,0
Georgia,EIP,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,0
Georgia,EIP,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,0
Georgia,EIP,2020-21,2020,40,Overall,Male,Overall,null,0
Georgia,EIP,2020-21,2020,40,Overall,Female,Overall,null,0
Georgia,EIP,2020-21,2020,40,Overall,Overall,Overall,null,0
Iowa,IHSP,2020-21,2020,40,Overall,Overall,White,null,0
Iowa,IHSP,2020-21,2020,40,Overall,Overall,Black,null,0
Iowa,IHSP,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,0
Iowa,IHSP,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,0
Iowa,IHSP,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,0
Iowa,IHSP,2020-21,2020,40,Overall,Male,Overall,null,0
Iowa,IHSP,2020-21,2020,40,Overall,Female,Overall,null,0
Iowa,IHSP,2020-21,2020,40,Overall,Overall,Overall,null,0
Entire Network,IHSP,2020-21,2020,40,Overall,Overall,White,null,0
Entire Network,IHSP,2020-21,2020,40,Overall,Overall,Black,null,0
